Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2020-06-05,80.31580352783203,124.1500015258789,71.41080474853516,178.31777954101562,59.04399871826172
2020-06-08,80.79068756103516,126.2030029296875,71.80850982666016,179.42271423339844,63.327999114990234
2020-06-09,83.34190368652344,130.04299926757812,72.00883483886719,180.79437255859375,62.711334228515625
2020-06-10,85.4860610961914,132.37249755859375,72.63468170166016,187.50039672851562,68.336669921875
2020-06-11,81.38184356689453,127.89800262451172,69.5204086303711,177.431884765625,64.85600280761719
2020-06-12,82.08445739746094,127.2509994506836,70.06690216064453,178.83218383789062,62.35200119018555
2020-06-15,83.09960174560547,128.63400268554688,70.45470428466797,179.97523498535156,66.05999755859375
2020-06-16,85.30193328857422,130.7635040283203,71.73065185546875,184.385498046875,65.47533416748047
2020-06-17,85.1832275390625,132.0489959716797,72.03165435791016,185.02374267578125,66.11933135986328
2020-06-18,85.2171401977539,132.69900512695312,71.11820983886719,187.00503540039062,66.9306640625
2020-06-19,84.73015594482422,133.75050354003906,70.64808654785156,185.8905487060547,66.72666931152344
2020-06-22,86.9470443725586,135.6909942626953,71.93843078613281,191.05340576171875,66.28800201416016
2020-06-23,88.80288696289062,138.2205047607422,72.59896087646484,192.329833984375,66.78533172607422
2020-06-24,87.2353286743164,136.72000122070312,71.04778289794922,188.4529266357422,64.0566635131836
2020-06-25,88.39341735839844,137.72900390625,71.46434783935547,190.83432006835938,65.73200225830078
2020-06-26,85.67747497558594,134.64349365234375,67.56854248046875,187.01455688476562,63.982666015625
2020-06-29,87.65205383300781,134.0189971923828,69.28585052490234,189.02444458007812,67.29000091552734
2020-06-30,88.38372802734375,137.9409942626953,70.32129669189453,193.85391235351562,71.98733520507812
2020-07-01,88.21656799316406,143.93499755859375,71.50897216796875,194.98741149902344,74.64199829101562
2020-07-02,88.21656799316406,144.51499938964844,72.89403533935547,196.47337341308594,80.57733154296875
2020-07-06,90.57637786865234,152.8520050048828,74.36785888671875,200.70274353027344,91.43866729736328
2020-07-07,90.29534149169922,150.00599670410156,73.88533782958984,198.36898803710938,92.65733337402344
2020-07-08,92.39832305908203,154.0554962158203,74.56375122070312,202.731689453125,91.05867004394531
2020-07-09,92.79566955566406,159.13150024414062,75.31055450439453,204.15097045898438,92.9520034790039
2020-07-10,92.9580078125,160.0,76.31971740722656,203.53179931640625,102.97666931152344
2020-07-13,92.52914428710938,155.1999969482422,74.99169921875,197.24501037597656,99.80400085449219
2020-07-14,94.06037902832031,154.1999969482422,75.41966247558594,198.46424865722656,101.12000274658203
2020-07-15,94.7072525024414,150.44349670410156,75.22229766845703,198.16891479492188,103.06732940673828
2020-07-16,93.5418701171875,149.9949951171875,75.12509155273438,194.24447631835938,100.04266357421875
2020-07-17,93.35289001464844,148.09849548339844,75.2208023071289,193.2537841796875,100.05599975585938
2020-07-20,95.3202133178711,159.8419952392578,77.55104064941406,201.56002807617188,109.53333282470703
2020-07-21,94.004638671875,156.9145050048828,77.15827941894531,198.84530639648438,104.55733489990234
2020-07-22,94.26873016357422,154.99549865722656,77.60112762451172,201.70294189453125,106.15533447265625
2020-07-23,89.97795104980469,149.32749938964844,75.21583557128906,192.9298858642578,100.87133026123047
2020-07-24,89.75505828857422,150.44549560546875,74.7923355102539,191.748779296875,94.46666717529297
2020-07-27,91.88227081298828,152.760498046875,75.84464263916016,194.177734375,102.63999938964844
2020-07-28,90.37286376953125,150.01649475097656,74.56620025634766,192.4345703125,98.43267059326172
2020-07-29,92.10514831542969,151.67649841308594,75.55107879638672,194.3778076171875,99.94066619873047
2020-07-30,93.21965026855469,152.593994140625,76.2879867553711,194.22537231445312,99.16600036621094
2020-07-31,102.97869110107422,158.23399353027344,73.78764343261719,195.28269958496094,95.38400268554688
2020-08-03,105.57350158691406,155.59449768066406,73.53026580810547,206.26565551757812,99.0
2020-08-04,106.27852630615234,156.94149780273438,73.06114196777344,203.16983032226562,99.13333129882812
2020-08-05,106.66376495361328,160.25149536132812,73.34828186035156,202.8364715576172,99.00133514404297
2020-08-06,110.38519287109375,161.25,74.63066864013672,206.08465576171875,99.30533599853516
2020-08-07,107.87550354003906,158.3730010986328,74.30438232421875,202.39828491210938,96.84733581542969
2020-08-10,109.44345092773438,157.4080047607422,74.2275161743164,198.36898803710938,94.57133483886719
2020-08-11,106.18861389160156,154.0334930419922,73.42018127441406,193.7300567626953,91.6259994506836
